,0,1,2
0,100008348542,5899.00,305万+
1,100006788665,1699.00,65万+
2,100010338196,1399.00,42万+
3,100008323095,999.00,22万+
4,100006583459,2699.00,46万+
5,100007673355,799.00,14万+
6,100007602661,2498.00,7.9万+
7,100009082466,699.00,102万+
8,100013377714,1399.00,18万+
9,100003717483,2199.00,60万+
10,100005207361,1189.00,60万+
11,100007958784,899.00,101万+
12,100003719857,599.00,1.5万+
13,100007001634,1798.00,26万+
14,100012975836,1499.00,13万+
15,100003395441,2199.00,50万+
16,100004404944,3688.00,68万+
17,100006947212,1399.00,172万+
18,100007001387,1999.00,1.3万+
19,8717360,169.00,34万+
20,100009177424,4469.00,58万+
21,100003582687,549.00,37万+
22,100012749270,2999.00,19万+
23,100005185579,1149.00,22万+
24,10020177803261,2798.00,500+
25,100012223260,3999.00,15万+
26,100000177760,4549.00,235万+
27,100011199522,3949.00,45万+
28,100013309406,1099.00,44万+
29,100010260256,3199.00,25万+
30,100007958768,1099.00,98万+
31,100006363052,1698.00,29万+
32,100012309040,2399.00,25万+
33,100012797742,299.00,7.3万+
34,100013525202,1999.00,9.2万+
35,100008348548,10899.00,46万+
36,10020177803261,2798.00,500+
37,100012134984,899.00,19万+
38,100008492072,129.00,72万+
39,100010617232,1599.00,27万+
40,100013860050,2699.00,5.8万+
41,100007273455,2149.00,6.4万+
42,55734067750,599.00,4500+
43,100008031678,1099.00,65万+
44,100010341060,1599.00,56万+
45,100014565820,5999.00,4.9万+
46,100012797716,289.00,7.2万+
47,100006607505,4488.00,25万+
48,71060723406,1798.00,2000+
49,100002749549,3488.00,82万+
50,100012686074,3799.00,26万+
51,100012820028,2998.00,16万+
52,100012545832,2999.00,18万+
53,100004770257,9999.00,36万+
54,63178981680,2949.00,300+
55,100008710200,4399.00,207万+
56,100012015134,5988.00,30万+
57,100012749268,2999.00,19万+
58,100006713417,5999.00,9.8万+
59,100012545868,3999.00,12万+
